Year,Day of the week,Traffic accidents
2009,Monday,1911
2009,Tuesday,1789
2009,Wednesday,1967
2009,Thursday,1962
2009,Friday,2089
2009,Saturday,1563
2009,Sunday,1379
2010,Monday,1646
2010,Tuesday,1703
2010,Wednesday,1847
2010,Thursday,1768
2010,Friday,1986
2010,Saturday,1476
2010,Sunday,1302
2011,Monday,1673
2011,Tuesday,1782
2011,Wednesday,1771
2011,Thursday,1810
2011,Friday,2079
2011,Saturday,1556
2011,Sunday,1332
2012,Monday,1680
2012,Tuesday,1698
2012,Wednesday,1752
2012,Thursday,1864
2012,Friday,1980
2012,Saturday,1500
2012,Sunday,1272
2013,Monday,1666
2013,Tuesday,1798
2013,Wednesday,1754
2013,Thursday,1763
2013,Friday,1997
2013,Saturday,1511
2013,Sunday,1260
2014,Monday,1757
2014,Tuesday,1782
2014,Wednesday,1821
2014,Thursday,1869
2014,Friday,1916
2014,Saturday,1476
2014,Sunday,1314
